 DEPTH          GR                SP              CAL            LLD             LLS             AC                DEN           CNL
2530.000    141.8831     -74.9290     24.1330     9.2116       10.0056      255.6460      2.5640       27.5810   
2530.125    142.2352     -74.7390     24.1450     9.6674       10.5267      252.5080      2.5510       26.5350   
2530.250    146.1079     -74.6120     23.9920     10.6184      11.5909      248.7080      2.5380       25.1280   
2530.375    151.9757     -74.5340     23.7680     11.6005      12.6671      244.8770      2.5260       23.9310   
2530.500    158.3129     -74.5060     23.5330     12.5787      13.7500      241.8310      2.4970       23.0380   
2530.625    162.4204     -74.5040     23.4510     13.0004      14.2895      240.2610      2.4910       22.1300   
2530.750    164.1807     -74.5160     23.4390     13.0026      14.4540      239.8310      2.4820       21.6560   
2530.875    163.4766     -74.5330     23.4390     12.8539      14.4226      239.4460      2.4770       21.0910   
2531.000    160.5427     -74.5660     23.4390     12.9511      14.6380      238.0770      2.4850       19.8760   
2531.125    156.7873     -74.6250     23.4510     13.5717      15.3951      235.0150      2.4830       18.4810   
2531.250    147.3988     -74.7000     23.4510     15.2534      17.3136      230.0310      2.4830       16.8020   
2531.375    136.1327     -74.7860     23.4510     17.6364      19.9612      223.6770      2.4800       15.0710   
2531.500    121.1112     -74.8780     23.4510     21.6078      24.3814      216.6310      2.4710       13.7500   
2531.625    110.3144     -74.9870     23.4510     26.0317      29.4022      209.6610      2.4600       13.4660   
2531.750    106.7937     -75.1230     23.4510     29.6965      33.6890      204.4620      2.4330       15.1140   
2531.875    111.2533     -75.3110     23.4510     28.1028      32.0579      204.7690      2.3660       19.6450   
2532.000    127.4483     -75.5570     23.4510     21.1036      24.3133      213.3080      2.2480       27.0610   
2532.125    142.9393     -75.8710     23.4740     14.6455      17.0746      230.3850      2.1220       32.2450   
2532.250    153.3840     -76.2900     23.9570     9.6341       11.4059      251.7690      2.0550       33.7260   
2532.375    141.7658     -76.9210     24.8160     7.4871       8.9906       272.0460      2.0310       32.5700   
2532.500    121.6979     -77.9020     26.3340     7.2985       8.8364       283.7230      2.0720       27.8910   
2532.625    92.2416      -79.3510     27.5340     8.8916       10.6826      282.4770      2.1420       20.3660   
2532.750    74.0515      -81.3350     26.5810     13.8899      16.7104      270.0920      2.2910       14.8320   
2532.875    58.7952      -83.8120     24.9210     22.5003      27.5152      252.9380      2.3410       12.5720   
2533.000    53.3969      -86.5980     23.1210     34.2774      42.4225      236.0460      2.3790       11.0930   
2533.125    48.3506      -89.4510     23.0980     39.9587      49.3570      224.7380      2.3790       10.5270   
2533.250    45.8861      -92.1700     23.0980     40.0793      49.0152      219.9080      2.3820       10.0380   
2533.375    45.0646      -94.6170     23.0980     38.7561      47.2336      219.2460      2.3870       9.6890    
2533.500    46.3555      -96.7640     23.0980     37.8806      46.4264      220.2770      2.3890       9.6470    
2533.625    47.5291      -98.6550     23.0980     36.5511      44.9521      221.9690      2.3880       9.8460    
2533.750    49.1721      -100.3440    23.0860     34.2863      42.0178      222.8150      2.3840       10.4190   
2533.875    49.7588      -101.8600    23.0860     32.8358      39.9464      223.6920      2.3740       11.2290   
2534.000    49.6415      -103.2060    23.0860     31.6256      38.1670      225.2920      2.3610       12.0970   
2534.125    47.4117      -104.3280    23.0980     29.7824      35.8574      227.7690      2.3540       12.8880   
2534.250    45.4167      -105.1550    23.0980     26.6552      32.1783      230.7850      2.3370       13.8040   
2534.375    42.4828      -105.6320    23.0980     24.3096      29.4223      234.1540      2.3260       14.4440   
2534.500    40.9572      -105.7280    23.0980     22.4902      27.2104      237.3850      2.3200       14.8740   
2534.625    43.1869      -105.4250    23.0980     21.2213      25.6271      239.7380      2.3160       14.9290   
2534.750    45.6514      -104.7110    23.0980     19.9927      24.1077      240.8920      2.3210       14.7210   
2534.875    48.1159      -103.6230    23.0860     19.5389      23.5863      240.7230      2.3300       13.7430   
2535.000    46.1208      -102.2190    23.0860     20.2593      24.5474      238.9380      2.3380       12.4700   
2535.125    44.3605      -100.6010    23.0860     22.2728      27.0626      235.5690      2.3390       11.0090   
2535.250    45.6514      -98.8610     23.1090     25.9437      31.4667      230.9540      2.3350       9.8430    
2535.375    49.7588      -97.1120     23.1090     29.5039      35.5080      225.9380      2.3290       9.2080    
2535.500    55.8614      -95.4280     23.1090     32.5200      38.8585      221.4620      2.3240       9.4000    
2535.625    60.0862      -93.8590     23.0980     32.7667      39.4008      218.3230      2.3260       10.2900   
2535.750    61.3771      -92.4220     23.2270     30.3439      37.1901      216.7850      2.3370       11.4410   
2535.875    60.4382      -91.1330     23.5450     27.3305      33.8571      216.5850      2.3510       12.5390   
2536.000    59.2647      -89.9900     23.9090     24.1375      29.7833      216.9850      2.3720       13.3330   
2536.125    61.4944      -89.0040     24.1800     22.1108      27.0527      218.0620      2.3840       15.2320   
2536.250    74.0515      -88.1970     24.3330     19.8929      24.2054      221.2150      2.4020       18.1590   
2536.375    94.1193      -87.6240     24.4390     16.8074      20.4278      227.9850      2.3970       21.7680   
2536.500    122.0500     -87.3780     24.5100     12.3170      14.9996      237.7380      2.3850       24.4610   
2536.625    138.0104     -87.6190     24.5100     9.6464       11.7911      248.7080      2.3560       25.0460   
2536.750    134.8418     -88.5300     24.5100     8.8318       10.8794      258.1230      2.3350       23.2010   
2536.875    113.4830     -90.2490     24.4630     9.3555       11.6791      262.2770      2.3270       19.6290   
2537.000    82.5011      -92.7770     24.1100     12.0783      15.7177      258.2150      2.3350       15.2750   
2537.125    61.6118      -95.9750     23.7570     17.8549      24.3078      248.7080      2.3430       11.8650   
2537.250    49.5241      -99.5850     23.4620     26.3022      36.3734      237.7230      2.3610       10.3400   
2537.375    48.7026      -103.3090    23.4620     30.4052      40.9356      228.3850      2.3670       9.8620    
2537.500    49.0547      -106.8740    23.4620     30.1259      37.9492      222.4770      2.3640       9.8660    
2537.625    47.4117      -110.0630    23.4620     28.3382      33.7861      221.5380      2.3630       10.0860   
2537.750    47.0597      -112.7740    23.4620     26.2284      30.3877      223.7850      2.3550       11.0080   
2537.875    47.5291      -115.0140    23.4620     23.8971      27.4865      227.2000      2.3400       12.4160   
2538.000    50.8150      -116.8240    23.4510     20.6710      23.6564      230.8920      2.3250       14.0760   
2538.125    56.6828      -118.2710    23.4740     18.1079      20.6401      235.1540      2.3150       15.6470   
2538.250    61.4944      -119.4730    23.5920     15.9190      18.0181      239.5380      2.3010       16.9710   
2538.375    63.8415      -120.5390    23.7210     14.8211      16.6449      243.6150      2.2890       17.6170   
2538.500    60.9076      -121.5070    23.8270     14.3376      15.9623      247.2460      2.2830       17.8780   
2538.625    56.3308      -122.3690    23.8270     14.3731      15.9307      250.0770      2.2750       17.6770   
2538.750    51.8713      -123.0660    23.8270     14.6745      16.2612      251.7080      2.2710       17.3140   
2538.875    48.1159      -123.5150    23.8270     15.0486      16.7365      252.2150      2.2730       17.0010   
2539.000    45.8861      -123.6470    23.8510     15.5394      17.3919      252.0150      2.2720       16.6160   
2539.125    44.0084      -123.4250    23.8620     16.0100      18.0052      251.2620      2.2790       16.3180   
2539.250    43.6563      -122.8460    23.8860     16.7254      18.8114      250.1080      2.2850       15.9450   
2539.375    42.9522      -121.9160    23.8740     17.6163      19.6544      248.6150      2.2900       15.4790   
2539.500    42.9522      -120.6330    23.8620     18.8778      20.7869      246.9850      2.2900       14.8590   
2539.625    42.3654      -118.9470    23.8510     19.8831      21.7744      245.6460      2.2940       14.7850   
2539.750    43.7737      -116.8180    24.0040     19.9693      21.8756      245.4620      2.2880       15.1520   
2539.875    54.8051      -114.2140    24.2270     18.0950      19.7964      247.5230      2.2760       16.6620   
2540.000    68.3011      -111.2050    24.4510     14.3650      15.6121      251.3850      2.2720       18.1870   
2540.125    84.9656      -107.9880    24.5920     11.7996      12.7716      256.1540      2.2720       19.1600   
2540.250    92.3590      -104.8800    24.9100     10.6656      11.6102      260.2310      2.2830       19.2270   
2540.375    90.1292      -102.1710    25.2630     10.7742      11.8547      261.6000      2.3000       18.2330   
2540.500    80.0366      -100.0410    25.5570     12.2480      13.5420      258.2920      2.3270       16.2650   
2540.625    67.7143      -98.5010     25.6040     15.2891      16.7379      251.5380      2.3520       14.2640   
2540.750    63.1374      -97.4310     25.6160     20.1671      21.7344      243.4150      2.3670       12.9790   
2540.875    61.3771      -96.6270     25.6160     23.9085      25.5615      236.0460      2.3670       12.2470   
2541.000    60.0862      -95.9000     25.6270     25.8928      27.5754      231.1690      2.3680       12.2730   
2541.125    59.8514      -95.1730     25.6160     24.7317      26.2751      229.8310      2.3690       12.9680   
2541.250    59.0300      -94.4570     25.6160     20.7612      22.0069      231.5850      2.3710       14.1550   
2541.375    59.4994      -93.7990     25.6040     16.8668      17.9184      235.3690      2.3580       15.8620   
2541.500    57.8564      -93.2540     25.6040     13.2969      14.2585      240.0000      2.3490       17.4880   
2541.625    55.9787      -92.8780     25.6040     11.3088      12.2169      244.0150      2.3360       18.8290   
2541.750    52.2233      -92.6660     25.6040     10.5536      11.3174      246.4000      2.3180       19.3060   
2541.875    51.0498      -92.5590     25.6160     11.4128      11.9353      246.8690      2.3010       19.0470   
2542.000    55.8613      -92.3880     25.6270     13.5837      13.7713      246.2310      2.2750       18.4820   
2542.125    66.6581      -91.9220     25.6270     15.5234      15.5328      246.7460      2.2320       19.2960   
2542.250    86.8433      -90.9500     25.6270     16.3845      16.3681      251.0920      2.1660       22.5240   
2542.375    107.3805     -89.4040     25.6160     14.9239      14.9562      260.6770      2.0130       31.6210   
2542.500    127.8004     -87.3950     25.6160     11.3633      11.4802      276.1460      1.9170       38.5350   
2542.625    137.4236     -85.1890     26.1920     8.6289       8.8564       293.3080      1.8550       43.2400   
2542.750    139.1839     -83.1010     27.2510     7.0684       7.3983       306.8690      1.8040       44.7590   
2542.875    134.3723     -81.3590     28.9110     6.8380       7.1273       311.8620      1.8130       43.5590   
2543.000    131.5558     -80.0400     29.7930     7.3021       7.4742       307.8610      1.8340       37.3330   
2543.125    129.5608     -79.0760     29.2520     7.8991       8.1200       296.4460      1.8560       34.0710   
2543.250    130.0302     -78.3450     27.3570     8.3713       8.8286       282.8310      1.8440       32.9140   
2543.375    124.6318     -77.7210     25.6510     8.4256       9.0372       271.0920      1.8180       33.6140   
2543.500    120.7591     -77.1430     24.8980     8.1305       8.7622       265.4460      1.7580       35.1040   
2543.625    116.8863     -76.6090     24.9100     7.7931       8.3737       265.8150      1.7400       36.9480   
2543.750    115.5954     -76.1320     25.0160     7.4272       7.9494       269.6610      1.7210       38.6530   
2543.875    112.6615     -75.7480     25.2160     7.0766       7.5853       274.6460      1.7110       39.8840   
2544.000    108.5541     -75.5120     25.4270     6.8141       7.3487       278.1850      1.7360       39.3190   
2544.125    106.0896     -75.4420     25.5220     7.0197       7.5754       278.1380      1.8150       37.6100   
2544.250    105.5028     -75.4290     25.7450     8.0340       8.5374       274.2150      1.9650       34.0490   
2544.375    106.9111     -75.4700     26.2040     9.6121       9.9438       267.2150      2.1080       30.0340   
2544.500    107.7326     -75.5590     25.7690     12.0260      12.1313      256.9690      2.3450       26.2130   
2544.625    107.6152     -75.6560     25.0510     14.2143      14.3205      246.9230      2.4690       23.9250   
2544.750    105.2681     -75.7090     24.0620     16.1606      16.4956      239.0460      2.5350       22.2420   
2544.875    103.1557     -75.7770     23.8740     16.7214      17.2314      233.9850      2.5580       21.3650   
2545.000    100.9259     -75.8240     23.7090     16.1145      16.6791      231.3230      2.5610       20.7570   
2545.125    101.3954     -75.8050     23.5450     15.1405      15.6793      231.7380      2.5640       20.5480   
2545.250    103.5078     -75.7110     23.4860     14.1487      14.6232      233.4150      2.5690       20.5680   
2545.375    107.1458     -75.5660     23.4620     13.6622      14.0606      235.2150      2.5700       20.4930   
2545.500    110.1971     -75.4080     23.4510     13.6535      13.9789      236.6150      2.5620       20.3700   
2545.625    107.7326     -75.2600     23.4510     14.0593      14.3783      237.2150      2.5570       19.7190   
2545.750    101.7474     -75.1300     23.4510     14.9908      15.3614      236.7690      2.5470       18.6700   
2545.875    93.1805      -74.9950     23.4510     16.2173      16.6310      235.3690      2.5390       17.2970   
2546.000    85.6697      -74.8610     23.4510     18.0092      18.4397      233.1690      2.5370       16.0860   
2546.125    82.0317      -74.7260     23.4510     19.6415      20.0673      230.1850      2.5400       14.9330   
